name,chunk_id,heading_path,section_label,text,num_tokens,num_sentences,answer,explanation,gemini_class,gemini_explanation,value_class
aalto-university.md,0,Aalto University > Aalto University Research Data Management Policy,,"The research data management policy aims to make data management easier for the individual researcher. Managing and curating data creates competitive edge, and allocating resources for that is a strategic choice of the university. The purposes of this policy are to (1) encourage to informed decision making in research data management and (2) define the principles used in the opening of publicly funded scientific research data to achieve wide societal impact and the strategic goals of Aalto University.",76,3,yes,Explicit: 'impact' appears near 'data'.,yes,"The text explicitly states that managing and curating data creates a ""competitive edge"" and contributes to ""wide societal impact"" and ""strategic goals,"" all of which are clear value claims for research data. Evidence: Managing and curating data creates competitive edge | achieve wide societal impact and the strategic goals of Aalto University.",
aalto-university.md,1,Aalto University > Aalto University Research Data Management Policy,,"The data management policy shall be implemented through conscious and strategic decisions. Open access publishing of research data aims to make research data easily discoverable, assessable, intelligible, usable and interoperable. Where applicable, these requirements can also be applied to data other than open access published research data, and to the software needed to handle the open data. The decisions to publish software, other than the software explicitly needed to handle the data, are done using the same conscious and strategic grounds as opening of the research data.",87,4,no,No: no explicit or implicit value-of-data cues detected.,yes,"The text highlights the value of research data by outlining the aims of open access publishing, which include making data discoverable, usable, and interoperable. These characteristics enhance the data's utility and potential for reuse, indicating its intrinsic and pragmatic value, and are part of strategic decisions. Evidence: Open access publishing of research data aims to make research data easily discoverable, assessable, intelligible, usable and interoperable. | The data management policy shall be implemented through conscious and strategic decisions.",
aalto-university.md,2,Aalto University > Aalto University Research Data Management Policy,,"Ownership of copyright protected research data is transferred to Aalto University if the data is created in an externally funded research project of Aalto University.  Strategic decisions about opening such data are done by the principal investigators. These decisions are done following the guidelines for ethical principles of research as well as the guidelines for responsible conduct of research, project agreements and guidelines for processing of personal data in scientific research,",71,3,no,No: no explicit or implicit value-of-data cues detected.,no,"The text focuses on the ownership, decision-making processes, and compliance guidelines related to research data, rather than discussing its inherent value or benefits. It describes administrative and legal aspects of data management. Evidence: Ownership of copyright protected research data is transferred to Aalto University... | Strategic decisions about opening such data are done by the principal investigators. These decisions are done following the guidelines...",
aalto-university.md,3,Aalto University > Aalto University Research Data Management Policy,,"Research data is not opened if the opening would violate privacy, safety, security, terms of project agreements or legitimate concerns of private partners. Researchers shall follow the ""Guideline on nondisclosure of information and information security classification at Aalto University"" and its appendix ""Rules on the handling of information materials"".",49,2,no,No: no explicit or implicit value-of-data cues detected.,no,"The text focuses on restrictions and compliance rules for handling research data, specifically concerning privacy, security, and contractual obligations. It does not discuss any benefits, utility, or inherent value of the data itself. Evidence: Research data is not opened if the opening would violate privacy, safety, security, terms of project agreements or legitimate concerns of private partners. | Researchers shall follow the ""Guideline on nondisclosure of information and information security classification at Aalto University"" and its appendix ""Rules on the handling of information materials"".",
aalto-university.md,4,Aalto University > Aalto University Research Data Management Policy,,"When deciding on the opening of research data, the possibilities for commercially exploiting the research results and data are taken into consideration. Aalto University will make agreements about the user rights of third parties according to the strategic goals of the university. Aalto University may also charge a fee from third parties for the use of research data.",58,3,yes,Implicit: discusses benefits/impact/FAIR/commercial outcomes tied to data.,yes,"The text explicitly discusses the commercial exploitation of research data and the potential to charge fees for its use, indicating its economic value. It also links data use to the university's strategic goals, highlighting its strategic value. Evidence: possibilities for commercially exploiting the research results and data are taken into consideration. | Aalto University may also charge a fee from third parties for the use of research data.",
aalto-university.md,5,Aalto University > Aalto University Research Data Management Policy,,"Openness of scientific research data will increase the scientific impact of the research, speed up the adoption of research findings and the creation of innovations, enable transparency in science, as well as ensure that research data has wide societal impact and usability in solving global challenges.",46,1,yes,Explicit: 'impact' appears near 'data'.,yes,"The text explicitly states multiple benefits of open research data, including increased scientific impact, accelerated innovation, enhanced transparency, and broad societal impact, all of which describe the value of the data. Evidence: increase the scientific impact of the research | ensure that research data has wide societal impact and usability in solving global challenges",
aalto-university.md,6,Aalto University > Aalto University Research Data Management Policy,,"Opening access to research data shall be made easy for researchers and implemented in a cost-effective manner so that the resources invested are proportioned to the benefits attainable. An appropriate digital infrastructure will be made available to the researchers by combined European, national and Aalto University efforts.",48,2,yes,Implicit: discusses benefits/impact/FAIR/commercial outcomes tied to data.,yes,"The text explicitly mentions 'benefits attainable' from opening access to research data, indicating its value. It also links the resources invested to these benefits, suggesting a strategic or pragmatic perspective on data's worth. Evidence: benefits attainable | Opening access to research data shall be made easy for researchers",
aalto-university.md,7,Aalto University > Aalto University Research Data Management Policy,,"The Aalto University research data management policy applies to digital research materials produced, used and revised in research projects, i.e. research data. Physical materials on which research data are based shall be excluded from research data, along with the use of biological research materials. The concept of

Aalto University Research Data
Management Policy
Decision by president of 10 February 2016
Appendix 1",60,8,no,No: no explicit or implicit value-of-data cues detected.,no,"The text describes the scope and applicability of a university's research data management policy, defining what constitutes research data for policy purposes. It does not discuss any benefits, importance, or value of research data itself. Evidence: The Aalto University research data management policy applies to digital research materials produced, used and revised in research projects, i.e. research data. | Physical materials on which research data are based shall be excluded from research data, along with the use of biological research materials.",
aalto-university.md,8,Aalto University > Aalto University Research Data Management Policy,,"research data is not specified further in this policy, as the quality and quantity of research data that is chosen for open access publishing is also chosen using the criteria above. (As regards university document preservation, a data management plan (DMP) required by the Archives Act and the instructions provided by Aalto University’s Archive and Registry Services  shall be abided by.)

The location of research data and the necessary software to access the data is known and they are easily discoverable and identifiable by means of a standard international identification mechanism.

Research data and the necessary software to access the data shall be easily accessible, along with other necessary information to access the data, such as a mention of the concerned research areas.

An embargo period can be agreed upon, to achieve strategic advantage for the creator. The embargo period is expressed in connection with the material.",148,6,no,No: no explicit or implicit value-of-data cues detected.,yes,The text explicitly states that an embargo period can be used to achieve 'strategic advantage' for the creator. This indicates that the research data is considered to have strategic value. Evidence: An embargo period can be agreed upon | strategic advantage for the creator,
aalto-university.md,9,"Aalto University > Aalto University Research Data Management Policy > Principles for open access publishing of research data (recommended to be acknowledged in data management in general, where applicable) > 2. Accessibility",,"For the research data, a licensing framework has been selected for research and educational use and for commercial exploitation. The license recommended for research data is Creative Commons Attribution 4.0 International (CC BY 4.0) and the waiver recommended for metadata is CC0 1.0 Universal (CC0 1.0) Public Domain Dedication. The license recommended for software is the MIT Licence. Other licenses may be chosen to achieve the strategic goals of the research project. If research data is published using the CC BY 4.0 license, Aalto University and researchers obtain sufficient rights for the re-use of the data, even though the ownership of the research data is not transferred to the University. The terms of the CC BY 4.0 license require that the creators of the research data are attributed.",123,6,yes,Implicit: discusses benefits/impact/FAIR/commercial outcomes tied to data.,yes,"The text discusses licensing frameworks for research data, explicitly mentioning its 'commercial exploitation' and 'research and educational use'. It also highlights the importance of obtaining 'sufficient rights for the re-use of the data' to achieve 'strategic goals', indicating the perceived value of the data. Evidence: commercial exploitation | re-use of the data",
