policy_chunk,name,chunk_id,heading_path,section_label,text,num_tokens,num_sentences,deterministic,probabilistic
aberystwyth-university.md-2,aberystwyth-university.md,2,Research Data Management Policy,,"Accurate, documented, complete, authentic, and reliable
• Stored in a safe and secure manner
• Stored in a manner which is compliant with legal obligations and, where applicable, the requirements of funding bodies and project-specific protocols approved by the University’s Research Ethics Panel
• Able to be made available to others in line with appropriate ethical, data sharing, and open access principles Data which is shared openly should follow FAIR principles; Findable, Accessible, Interoperable, and Reuseable
6. Research data and any associated records should be retained for as long as they are of continuing value to the researcher and the wider research community, and as long as specified by the research funder, patent law, legislative, or other regulatory requirements. The minimum retention period for research data is three (3) years after publication or public release of the research. In many instances, researchers or the university will resolve to retain research data for a period surpassing the minimum requirement or indefinitely.
7. Published research papers should include a short statement describing how any supporting research data may be accessed, e.g. though citation and the use of a DOI link.
8. Subject to third party interests, research data which supports a scholarly work produced by a member of University staff, shall be owned by the University and retained for an appropriate period of time in accordance with point 6. This period may extend beyond the period of employment of the staff member with the University.
9. Subject to third party interests, research data which supports a scholarly work produced by a student of the University, will remain the intellectual property of the student and be retained for an appropriate period of time in accordance with point 6.
10. If research data or records are to be deleted or destroyed, this should be done so in accordance with University Information Compliance procedures. With all legal, ethical, funder, and collaborator requirements met, and with particular concern for confidentiality and security.
11. Research data will be offered for deposit and archival in the University repository, or an appropriate national, international, or discipline-specific repository. With a metadata record always created in the University repository.
12. The University will provide training, support, advice, and where appropriate, guidelines and templates for research data management and data management plans.",371,24,yes,yes
aston-university.md-1,aston-university.md,1,Research Data Management Policy > Aston University Research Data Management Policy > 1. INTRODUCTION AND PURPOSE,,"The maintenance of accurate and retrievable data arising from research projects is an essential component of good practice in the conduct of research and a key component of research integrity and research reproducibility. Consideration around research data management and evidence of good research data management should be seen as an integral part of the research process, which is what Aston University expects of all researchers. This is in line with Aston’s values and commitment to deliver research that changes lives for the better through collaborations between students, academic staff and industry leaders.",93,3,no,yes
aston-university.md-9,aston-university.md,9,Research Data Management Policy > Aston University Research Data Management Policy > 3. POLICY STATEMENT > 3.2 Research data,,"Research data must be stored and disposed of securely according to the relevant retention and disposal schedule, in accordance with legal, ethical, research funder and collaborator requirements and with particular concern for the confidentiality and security of the data. Records relating to research (e.g. master copies of approved consent forms, information sheets, records relating to ethical approval) should be retained for six years after the date of project closure, in line with the University Records Management Procedures. Research data that underpins published results or is considered to have long-term value should be retained.",95,4,no,yes
cardiff-metropolitan-university.md-9,cardiff-metropolitan-university.md,9,"Cardiff Metropolitan University Research Data Management Policy > 4. Storage, retention and sharing of data: expectations",4.5,"Retention periods will be decided as part of the Data Management planning exercise. Once the initial retention period as stated in the Data Management Plan has lapsed, a review will take place to assess whether the data should be retained for a further period.  Data with acknowledged long-term value will be preserved and remain accessible and usable for future research.  Conversely, data which has attracted little interest for more than ten years will not be expected to be retained.",80,4,yes,yes
carl-von-ossietzky-universität-oldenburg.md-0,carl-von-ossietzky-universität-oldenburg.md,0,ICBM Research Data Management Policy > Background & Motivation,,"Data, records, and sample related information are fundamental to both high quality research and academic integrity: to verify and defend the process and outcomes of research, accurate and retrievable research data are essential. Increasing amounts of collected and produced raw data, as well as processed data, need to be retained in order to exploit their long-term value for research, teaching, and for wider exploitation for the public good.",69,2,yes,yes
carl-von-ossietzky-universität-oldenburg.md-1,carl-von-ossietzky-universität-oldenburg.md,1,ICBM Research Data Management Policy > Background & Motivation,,"The purpose of data management is to maximise the academic value of research data by ensuring that such data is managed according to good practices for collection, curation, storage, management, retrieval, re-use, sharing, archiving, and access, appropriate for the data and discipline concerned.",44,1,yes,yes
carl-von-ossietzky-universität-oldenburg.md-2,carl-von-ossietzky-universität-oldenburg.md,2,ICBM Research Data Management Policy > Objectives,,"This policy defines research data as all data, records, and sample related information created or collected for the purposes of analysis to generate original research results. In accordance with the university guidelines for good scientific practice[1] and the Findable, Accessible, Interoperable and thus Reusable (FAIR) principles[2], research data, regardless of the form or the media in which they may exist, should be

accurate, complete, authentic, and reliable, identifiable, retrievable, and available when needed, secure and safe, able to be made available to others.

Research data should be retained

a) as long as they are of continuing value to the researcher or the wider research community, b) as long as specified by the funding body, and
c) for a minimum of ten years after publication.",124,6,yes,yes
central-european-university.md-0,central-european-university.md,0,Ethical Research Policy,,"The purpose of the CEU Ethical Research Policy is to establish the principles and responsibilities for ethical conduct in research by the members of the CEU community and in research supported by CEU. As a research intensive university, CEU values and protects academic freedom while safeguarding ethical principles in research such as respect for persons and their welfare and justice.",60,2,no,no
copenhagen-business-school.md-11,copenhagen-business-school.md,11,CBS Research Data Management Policy > 3. Division of responsibilities in the research data life cycle > 3.3 Sharing Results > 3.3.2  Long-term preservation of research data,," Data selection: Researchers should archive all research data of high value (costly or difficult to replace), unless Danish legislation states otherwise. Researchers are encouraged to archive research data that could help defend their research against possible challenges. Data disposal: Researchers should plan for appropriate disposal of research data that are not selected for long-term preservation. Data disposal has to take place in accordance with CBS Information Security Policy, CBS Information Security Rules, and CBS Information Security Instructions.8 Long-term preservation: In accordance with the Danish Code of Conduct for Research Integrity , researchers must ensure that research data selected for long-term preservation remain archived for a minimum of five years after project completion. Researchers working with personal data must archive their research data at the Danish National Archives (Rigsarkivet), unless Danish legislation states that the research data must be destroyed upon project completion.

CBS IT provides guidance and support concerning safe data disposal.

CBS Research Data Management Support provides guidance on trusted data repositories and on archiving data at the National Archives (Rigsarkivet).",174,7,yes,yes
de-montfort-university.md-6,de-montfort-university.md,6,CONTENTS > SCOPE,,"7. All new research proposals for external funding must include research data management plans or protocols (DMPs) in line with the relevant funders’ policies (bearing in mind that some funders may require a DMP to be in place even if they do not ask for it to be submitted to them).  DMPs are also encouraged for research that is not externally funded, in order to enable cross-checking and validation, and support research integrity.  Additionally, it may be the case that individual Faculty Ethics Committees might require a DMP to be submitted with ethics applications.

8. All DMPs should include responsibilities for data collection, documentation and metadata, ethical and legal compliance, storage and backup, selection of data of long-term value, preservation and data sharing.",123,6,yes,yes
