name,country,has_url,type,url
Fachhochschule JOANNEUM,Austria,TRUE,pdf,https://cdn.fh-joanneum.at/media/2021/10/Information-about-data-procession-in-the-course-of-your-studies-1.pdf
Johannes Kepler University Linz,Austria,TRUE,pdf,https://www.jku.at/fileadmin/gruppen/56/Downloads/2020-10-08_Policy_Forschungsdatenmanagement_FIN_EN.pdf
Medizinische Universität Graz,Austria,TRUE,pdf,https://www.medunigraz.at/frontend/user_upload/OEs/oe-forschungsmanagement/abt-forschungsdokumentation/FDM_Policy_EN.pdf
Medizinische Universität Wien,Austria,TRUE,pdf,https://www.meduniwien.ac.at/web/fileadmin/content/serviceeinrichtungen/itsc/it4science/Policy_for_Research_Data_Management.pdf
Technical University Vienna,Austria,TRUE,pdf,https://www.tuwien.at/index.php?eID=dms&s=4&path=Directives%20and%20Regulations%20of%20the%20Rectorate/Policy%20for%20Research%20Data%20Management.pdf
Universität Graz,Austria,TRUE,pdf,https://static.uni-graz.at/fileadmin/strategische-entwicklung/Dateien/FDM-Policy_EN_FINAL_Layout.pdf
Ghent University,Belgium,TRUE,pdf,https://www.ugent.be/pp/en/research/rdm/faculty_guidelines_rdm.pdf
Hasselt University,Belgium,TRUE,pdf,https://www.uhasselt.be/media/iqdfnq51/20230406_policyplan_rdm_uhasselt_en.pdf
Universite Libre de Bruxelles,Belgium,TRUE,pdf-download,https://www.ulb.be/medias/fichier/ulb-rdm-policy_1629187645910-pdf?ID_FICHE=7415&INLINE=FALSE
Charles University Prague,Czech Republic,TRUE,pdf,https://cuni.cz/UKEN-1958-version1-58_implementace_datove_politiky_na_uk_en_2.pdf
Copenhagen Business School,Denmark,TRUE,pdf,https://www.cbs.dk/files/cbs.dk/call_to_action/cbs_rdm_policy.pdf
Technical University of Denmark,Denmark,TRUE,pdf,https://www.dtu.dk/english/-/media/andre_universitetsenheder/bibliotek/bibliotek_newdesign/politikker/dtu-research-data-management-policy.pdf
University of Copenhagen,Denmark,TRUE,pdf,https://research.ku.dk/integrity/documents/UCPH_Policy_for_Research_Data_Management_2022.pdf
Aalto University,Finland,TRUE,pdf-download,https://wiki.eduuni.fi/download/attachments/49847350/20160210%20Datapolicy%20_liite%20eng.pdf?version=1&modificationDate=1457333949453&api=v2
University of Helsinki,Finland,TRUE,pdf,https://helda.helsinki.fi/server/api/core/bitstreams/594389d4-5d29-4dfc-a68f-ab99caa4719d/content
University of Oulu,Finland,TRUE,html,https://libguides.oulu.fi/researchdata
Sorbonne University,France,TRUE,pdf,https://www.sorbonne-universite.fr/sites/default/files/media/2022-11/03Politique%20douverture%20des%20donnes_EN_VD.pdf
Albert-Ludwigs-Universitaet Freiburg,Germany,TRUE,html,https://www.med.uni-freiburg.de/en/research/service-for-researchers/research-datamanagement/research-data-management-test-page
Carl von Ossietzky Universität Oldenburg,Germany,TRUE,pdf,https://uol.de/f/5/inst/icbm/Datenmanagement/ICBM_data-policy.pdf?v=1549012766
Christian-Albrechts-University zu Kiel,Germany,TRUE,pdf,https://www.praesidium.uni-kiel.de/de/dokumente/leitlinie-zum-umgang-mit-forschungsdaten-guideline-on-research-data-management-english
Fachhochschule Münster,Germany,TRUE,pdf,https://www.uni-muenster.de/imperia/md/content/wwu/senat/pdf/research_data_management_policy-eng_12_2017.pdf
Free University Berlin,Germany,TRUE,pdf,https://refubium.fu-berlin.de/bitstream/handle/fub188/32417/Research-Data-Policy-of-Freie-Universitaet-Berlin.pdf?sequence=2&isAllowed=y
Friedrich-Schiller Universität Jena,Germany,TRUE,pdf,https://www.hanfried.uni-jena.de/vhbmedia/1097/guidelines-and-recommendations-on-research-data-management.pdf
Helmholtz Munich,Germany,TRUE,pdf,https://www.helmholtz-munich.de/fileadmin/HZM-Corporate-Website/Dokumente/Impressum/RD-Policy_HMGU_en.pdf
Humboldt-Universität zu Berlin,Germany,TRUE,pdf,https://www.cms.hu-berlin.de/de/dl/dataman/hu-rdm-policy/
Justus-Liebig-University Giessen,Germany,TRUE,pdf,https://www.uni-giessen.de/de/mug/5/pdf/forschung/5_00_00_1_englisch
Karlsruhe Institute of Technology,Germany,TRUE,pdf,https://www.rdm.kit.edu/downloads/KIT-RDM-Policy.pdf
Leibniz University Hannover,Germany,TRUE,pdf,https://www.uni-hannover.de/fileadmin/luh/content/dezernat4/FDM/240614_Guidelines_RDM_final.pdf
Max Delbrück Center for Molecular Medicine,Germany,TRUE,pdf,https://www.mdc-berlin.de/system/files/document/2021_03_01_MDC_Research_Data_Policy_signed.pdf
